stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
27854,7854,Put za jezero,44.5877700000,20.4356000000,2,0,
27855,7855,JKP 10.oktobar,44.5754700000,20.4220200000,2,0,
27856,7856,Naselje gaj - Ulaz,44.5743717000,20.4285383000,2,0,
27857,7857,Naselje Gaj R,44.5674222282,20.4297518368,2,0,
27858,7858,JKP 10.oktobar,44.5752700000,20.4222067000,2,0,
27859,7859,Naselje gaj R,44.5676824086,20.4294290233,2,0,
27860,7860,JKP 10.oktobar,44.5752450000,20.4214660000,2,0,
27862,7862,Naselje izlaz,44.5744633000,20.4286283000,2,0,
27864,7864,Okretnica,44.4717702758,20.8161014424,2,0,
27866,7866,JKP 10.oktobar,44.5756610000,20.4219650000,2,0,
27867,7867,Duje Damnjanovića,44.5789600000,20.4276600000,2,0,
27870,7870,Lisović - Pajšuma - Okretnica,44.5423617000,20.4383083000,2,0,
27872,7872,Duje Damnjanovića,44.5787400000,20.4271600000,2,0,
27877,7877,Petkovići - Trafo,44.6329150000,20.4348390000,2,0,
27878,7878,Petkovići - Trafo,44.6329917000,20.4350367000,2,0,
27879,7879,Petkovići raskrsnica,44.6415680000,20.4417150000,2,0,
27880,7880,Petkovići raskrsnica,44.6414550000,20.4415870000,2,0,
27881,7881,Spomenik,44.4993843903,20.5861515890,2,0,
27882,7882,Spomenik,44.4994600000,20.5862233000,2,0,
27883,7883,Ravni gaj - Vitkovica,44.5813343000,20.4704809000,2,0,
27884,7884,Ravni gaj - Vitkovica,44.5812600000,20.4702800000,2,0,
27885,7885,Ravni gaj - Izlaz,44.5778905000,20.4624500000,2,0,
27886,7886,Ravni gaj - Izlaz,44.5779683000,20.4623383000,2,0,
27887,7887,Ravni gaj - Okretnica,44.5922098000,20.4794932000,2,0,
27889,7889,Ravni gaj - Selo,44.5778855000,20.4434803000,2,0,
27890,7890,Ravni gaj - Selo,44.5780333000,20.4434183000,2,0,
27892,7892,Ravni gaj - Ulaz,44.5789144000,20.4353234000,2,0,
27893,7893,Ravni gaj - Ulaz,44.5790883000,20.4353467000,2,0,
27894,7894,Ravni gaj - Škola,44.5779331000,20.4528986000,2,0,
27895,7895,Ravni gaj - Škola,44.5779800000,20.4525600000,2,0,
27896,7896,Ravni gaj R,44.5863233000,20.4710233000,2,0,
27897,7897,Ravni gaj R,44.5865597000,20.4711736000,2,0,
27898,7898,Rašića kraj - Ulaz,44.5929350000,20.3023667000,2,0,
27899,7899,Rašića kraj - Ulaz,44.5928170944,20.3025682945,2,0,
27900,7900,Stubline - Centar,44.5723100000,20.1514100000,2,0,
27901,7901,Stubline - Centar,44.5722744000,20.1513431000,2,0,
27902,7902,Nemenikuće - škola,44.4971645178,20.5886083092,2,0,
27903,7903,Nemenikuće - škola,44.4968200000,20.5888000000,2,0,
27905,7905,Rašića kraj,44.5915556319,20.2973460841,2,0,
27906,7906,Rašića kraj,44.5915433000,20.2974600000,2,0,
27909,7909,Brđanska,44.6231600000,20.4687150000,2,0,
27910,7910,Dragana Lukića,44.6391400000,20.4271000000,2,0,
27911,7911,Jovana Deretića,44.6365200000,20.4261100000,2,0,
27912,7912,Strugara,44.6351500000,20.4252700000,2,0,
27913,7913,Jovana Deretića,44.6365500000,20.4261700000,2,0,
27914,7914,Dragana Lukića,44.6393000000,20.4271800000,2,0,
27915,7915,Trebež - Okretnica,44.6422500000,20.4285500000,2,0,
27929,7929,Žuto brdo,44.6076400000,20.2890500000,2,0,
27930,7930,Žuto brdo,44.6075300000,20.2891100000,2,0,
27931,7931,Servis,44.5688399166,20.4175875712,2,0,
