route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00601,RD,00601_B_RD_1135,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1737,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0642,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_2240,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_1053,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_2037,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0647,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1534,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_2002,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0724,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0540,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1138,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1434,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_2043,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_1120,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1531,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0648,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1109,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1958,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0853,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_2049,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1035,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1445,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0901,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1509,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1806,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0706,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1651,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_2131,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1200,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1623,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0621,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1827,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1843,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1209,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1802,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0733,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1145,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_2138,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_0736,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1624,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_2108,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0732,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0612,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_2320,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1506,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_2143,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_1212,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_1624,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0736,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1159,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_0825,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1248,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_2149,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1200,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0921,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_0935,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1533,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1851,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_B_N_0758,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,N,00601_A_N_1743,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_B_N_2300,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,S,00601_A_S_1249,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,S,00601_B_S_1712,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_0631,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_2014,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1047,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,RD,00601_B_RD_1241,Beograd na vodi,,1,,00601_direction_B_osnovna_linija_B,0
00601,RD,00601_A_RD_1835,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
00601,N,00601_A_N_0825,Surčin,,0,,00601_direction_A_osnovna_linija_A,0
